STATUS OK
D 7ff8000000000000,7ff8000000000000,4000000000000000,4000000000000000,3ff0000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,4000000000000000,4003cc8a99af5453,4003cc8a99af5453,0000000000000000,4003cc8a99af5453,4003cc8a99af5453,0000000000000000
S A|A|2|2|1|Centre-Edge|1|micron|OK|2|2.475|2.475|0.000|2.475|2.475|0.000
D 7ff8000000000000,7ff8000000000000,4000000000000000,4000000000000000,3ff0000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S A|A|2|2|1|Centre-Edge|2|micron|INSUFFICIENT_NEIGHBOURS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,4000000000000000,4000000000000000,3ff0000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,4000000000000000,4003cc8a99af5453,4003cc8a99af5453,0000000000000000,4003cc8a99af5453,4003cc8a99af5453,0000000000000000
S A|A|2|2|1|Edge-Centre|1|micron|OK|2|2.475|2.475|0.000|2.475|2.475|0.000
D 7ff8000000000000,7ff8000000000000,4000000000000000,4000000000000000,3ff0000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S A|A|2|2|1|Edge-Centre|2|micron|INSUFFICIENT_NEIGHBOURS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,4000000000000000,4000000000000000,3ff0000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,4000000000000000,4000f876ccdf6cd9,4000f876ccdf6cd9,0000000000000000,4000f876ccdf6cd9,4000f876ccdf6cd9,0000000000000000
S A|A|2|2|1|Edge-Edge|1|micron|OK|2|2.121|2.121|0.000|2.121|2.121|0.000
D 7ff8000000000000,7ff8000000000000,4000000000000000,4000000000000000,3ff0000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S A|A|2|2|1|Edge-Edge|2|micron|INSUFFICIENT_NEIGHBOURS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,4000000000000000,4000000000000000,3ff0000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,4000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
S A|A|2|2|1|Surface-Contact|1|micron|OK|2|0.000|0.000|0.000|0.000|0.000|0.000
D 7ff8000000000000,7ff8000000000000,4000000000000000,4000000000000000,3ff0000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S A|A|2|2|1|Surface-Contact|2|micron|INSUFFICIENT_NEIGHBOURS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,4000000000000000,3ff0000000000000,0000000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,4000000000000000,3ff6a09e667f3bcc,3ff6a09e667f3bcc,3feffffffffffffe,3fe6a09e667f3bcd,4000f876ccdf6cd9,3fe0000000000000
S A|B|2|1|0|Centre-Centre|1|micron|OK|2|1.414|1.414|1.000|0.707|2.121|0.500
D 7ff8000000000000,7ff8000000000000,4000000000000000,3ff0000000000000,0000000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S A|B|2|1|0|Centre-Centre|2|micron|INSUFFICIENT_NEIGHBOURS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,4000000000000000,3ff0000000000000,0000000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,4000000000000000,3ff0f876ccdf6cda,3ff0f876ccdf6cda,3ff0000000000000,3fd6a09e667f3bcd,3ffc48c6001f0ac0,3fe0000000000000
S A|B|2|1|0|Centre-Edge|1|micron|OK|2|1.061|1.061|1.000|0.354|1.768|0.500
D 7ff8000000000000,7ff8000000000000,4000000000000000,3ff0000000000000,0000000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S A|B|2|1|0|Centre-Edge|2|micron|INSUFFICIENT_NEIGHBOURS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,4000000000000000,3ff0000000000000,0000000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,4000000000000000,3ff0f876ccdf6cda,3ff0f876ccdf6cda,3ff0000000000000,3fd6a09e667f3bcd,3ffc48c6001f0ac0,3fe0000000000000
S A|B|2|1|0|Edge-Centre|1|micron|OK|2|1.061|1.061|1.000|0.354|1.768|0.500
D 7ff8000000000000,7ff8000000000000,4000000000000000,3ff0000000000000,0000000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S A|B|2|1|0|Edge-Centre|2|micron|INSUFFICIENT_NEIGHBOURS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,4000000000000000,3ff0000000000000,0000000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,4000000000000000,3fe6a09e667f3bcd,3fe6a09e667f3bcd,3ff0000000000000,0000000000000000,3ff6a09e667f3bcd,3fe0000000000000
S A|B|2|1|0|Edge-Edge|1|micron|OK|2|0.707|0.707|1.000|0.000|1.414|0.500
D 7ff8000000000000,7ff8000000000000,4000000000000000,3ff0000000000000,0000000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S A|B|2|1|0|Edge-Edge|2|micron|INSUFFICIENT_NEIGHBOURS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,4000000000000000,3ff0000000000000,0000000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,4000000000000000,3ff0000000000000,3ff0000000000000,3ff6a09e667f3bcd,0000000000000000,4000000000000000,3fe0000000000000
S A|B|2|1|0|Surface-Contact|1|micron|OK|2|1.000|1.000|1.414|0.000|2.000|0.500
D 7ff8000000000000,7ff8000000000000,4000000000000000,3ff0000000000000,0000000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S A|B|2|1|0|Surface-Contact|2|micron|INSUFFICIENT_NEIGHBOURS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,3ff0000000000000,3ff0000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S B|B|1|1|1|Centre-Centre|1|micron|NO_TARGET_OBJECTS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,3ff0000000000000,3ff0000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S B|B|1|1|1|Centre-Centre|2|micron|NO_TARGET_OBJECTS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,3ff0000000000000,3ff0000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S B|B|1|1|1|Centre-Edge|1|micron|NO_TARGET_OBJECTS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,3ff0000000000000,3ff0000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S B|B|1|1|1|Centre-Edge|2|micron|NO_TARGET_OBJECTS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,3ff0000000000000,3ff0000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S B|B|1|1|1|Edge-Centre|1|micron|NO_TARGET_OBJECTS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,3ff0000000000000,3ff0000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S B|B|1|1|1|Edge-Centre|2|micron|NO_TARGET_OBJECTS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,3ff0000000000000,3ff0000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S B|B|1|1|1|Edge-Edge|1|micron|NO_TARGET_OBJECTS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,3ff0000000000000,3ff0000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S B|B|1|1|1|Edge-Edge|2|micron|NO_TARGET_OBJECTS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,3ff0000000000000,3ff0000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S B|B|1|1|1|Surface-Contact|1|micron|NO_TARGET_OBJECTS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,3ff0000000000000,3ff0000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000
S B|B|1|1|1|Surface-Contact|2|micron|NO_TARGET_OBJECTS|0|NaN|NaN|NaN|NaN|NaN|NaN
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,4000000000000000,0000000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,3ff0000000000000,3fe6a09e667f3bcd,3fe6a09e667f3bcd,7ff8000000000000,3fe6a09e667f3bcd,3fe6a09e667f3bcd,3ff0000000000000
S B|A|1|2|0|Centre-Centre|1|micron|OK|1|0.707|0.707|NaN|0.707|0.707|1.000
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,4000000000000000,0000000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,3ff0000000000000,4000f876ccdf6cd9,4000f876ccdf6cd9,7ff8000000000000,4000f876ccdf6cd9,4000f876ccdf6cd9,0000000000000000
S B|A|1|2|0|Centre-Centre|2|micron|OK|1|2.121|2.121|NaN|2.121|2.121|0.000
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,4000000000000000,0000000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,3ff0000000000000,3fd6a09e667f3bcd,3fd6a09e667f3bcd,7ff8000000000000,3fd6a09e667f3bcd,3fd6a09e667f3bcd,3ff0000000000000
S B|A|1|2|0|Centre-Edge|1|micron|OK|1|0.354|0.354|NaN|0.354|0.354|1.000
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,4000000000000000,0000000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,3ff0000000000000,3ffc48c6001f0ac0,3ffc48c6001f0ac0,7ff8000000000000,3ffc48c6001f0ac0,3ffc48c6001f0ac0,0000000000000000
S B|A|1|2|0|Centre-Edge|2|micron|OK|1|1.768|1.768|NaN|1.768|1.768|0.000
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,4000000000000000,0000000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,3ff0000000000000,3fd6a09e667f3bcd,3fd6a09e667f3bcd,7ff8000000000000,3fd6a09e667f3bcd,3fd6a09e667f3bcd,3ff0000000000000
S B|A|1|2|0|Edge-Centre|1|micron|OK|1|0.354|0.354|NaN|0.354|0.354|1.000
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,4000000000000000,0000000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,3ff0000000000000,3ffc48c6001f0ac0,3ffc48c6001f0ac0,7ff8000000000000,3ffc48c6001f0ac0,3ffc48c6001f0ac0,0000000000000000
S B|A|1|2|0|Edge-Centre|2|micron|OK|1|1.768|1.768|NaN|1.768|1.768|0.000
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,4000000000000000,0000000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,3ff0000000000000,0000000000000000,0000000000000000,7ff8000000000000,0000000000000000,0000000000000000,3ff0000000000000
S B|A|1|2|0|Edge-Edge|1|micron|OK|1|0.000|0.000|NaN|0.000|0.000|1.000
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,4000000000000000,0000000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,3ff0000000000000,3ff6a09e667f3bcd,3ff6a09e667f3bcd,7ff8000000000000,3ff6a09e667f3bcd,3ff6a09e667f3bcd,0000000000000000
S B|A|1|2|0|Edge-Edge|2|micron|OK|1|1.414|1.414|NaN|1.414|1.414|0.000
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,4000000000000000,0000000000000000,7ff8000000000000,3ff0000000000000,7ff8000000000000,7ff8000000000000,3ff0000000000000,4000000000000000,4000000000000000,7ff8000000000000,4000000000000000,4000000000000000,3ff0000000000000
S B|A|1|2|0|Surface-Contact|1|micron|OK|1|2.000|2.000|NaN|2.000|2.000|1.000
D 7ff8000000000000,7ff8000000000000,3ff0000000000000,4000000000000000,0000000000000000,7ff8000000000000,4000000000000000,7ff8000000000000,7ff8000000000000,3ff0000000000000,0000000000000000,0000000000000000,7ff8000000000000,0000000000000000,0000000000000000,0000000000000000
S B|A|1|2|0|Surface-Contact|2|micron|OK|1|0.000|0.000|NaN|0.000|0.000|0.000
TABLE patternSummary rows=18 cols=20
H Source_Channel|Target_Channel|Function|Status|Envelope_Status|Saturation_Status|Saturation_Radius|Saturated_Radii|Maximum_Absolute_Deviation|Radius_At_Maximum_Deviation|Global_P|Simulations|Minimum_Achievable_P|Global_Rank_N|Seed|Radius_Unit|Value_Unit|Minimum_Envelope_N|Complete_Envelope_Radii|Requested_Radii_Count
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,401c463abeccb2bb,3ff8000000000000,3ff0000000000000,4022000000000000,3fb999999999999a,4024000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,4010000000000000,4010000000000000
S A||K|OK|OK|OK|NaN|0|7.069|1.500|1.000|9|0.100|10|2024|micron|micron^2|9|4|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,0000000000000000,4010000000000000
S B||K|INSUFFICIENT_POINTS|INCOMPLETE_POINTWISE_ENVELOPE|OK|NaN|0|NaN|NaN|NaN|9|NaN|0|2024|micron|micron^2|0|0|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,3ff8000000000000,3ff8000000000000,3ff0000000000000,4022000000000000,3fb999999999999a,4024000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,4010000000000000,4010000000000000
S A||L|OK|OK|OK|NaN|0|1.500|1.500|1.000|9|0.100|10|2024|micron|micron|9|4|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,0000000000000000,4010000000000000
S B||L|INSUFFICIENT_POINTS|INCOMPLETE_POINTWISE_ENVELOPE|OK|NaN|0|NaN|NaN|NaN|9|NaN|0|2024|micron|micron|0|0|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,3ff8000000000000,3ff8000000000000,3ff0000000000000,4022000000000000,3fb999999999999a,4024000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,4010000000000000,4010000000000000
S A||L_MINUS_R|OK|OK|OK|NaN|0|1.500|1.500|1.000|9|0.100|10|2024|micron|micron|9|4|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,0000000000000000,4010000000000000
S B||L_MINUS_R|INSUFFICIENT_POINTS|INCOMPLETE_POINTWISE_ENVELOPE|OK|NaN|0|NaN|NaN|NaN|9|NaN|0|2024|micron|micron|0|0|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,40148bfaf2e3b2ee,0000000000000000,3fd4c9001ceca750,3ff8000000000000,3ff0000000000000,4022000000000000,3fb999999999999a,4024000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,4010000000000000,4010000000000000
S A||G|OK|OK|OK|5.137|0|0.325|1.500|1.000|9|0.100|10|2024|micron|dimensionless|9|4|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,401d0ebc4563dd3c,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,0000000000000000,4010000000000000
S B||G|INSUFFICIENT_POINTS|INCOMPLETE_POINTWISE_ENVELOPE|OK|7.264|0|NaN|NaN|NaN|9|NaN|0|2024|micron|dimensionless|0|0|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,3ff0000000000000,3ff8000000000000,3ff0000000000000,4022000000000000,3fb999999999999a,4024000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,4010000000000000,4010000000000000
S A||PAIR_CORRELATION|OK|OK|OK|NaN|0|1.000|1.500|1.000|9|0.100|10|2024|micron|dimensionless|9|4|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,7ff8000000000000,0000000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,0000000000000000,4010000000000000
S B||PAIR_CORRELATION|INSUFFICIENT_POINTS|INCOMPLETE_POINTWISE_ENVELOPE|OK|NaN|0|NaN|NaN|NaN|9|NaN|0|2024|micron|dimensionless|0|0|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,4033a782f0a312fa,3fe8000000000000,3fb999999999999a,4022000000000000,3fb999999999999a,4024000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,4010000000000000,4010000000000000
S A|B|CROSS_K|OK|OK|OK|NaN|0|19.654|0.750|0.100|9|0.100|10|2024|micron|micron^2|9|4|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,4033a782f0a312fa,3fe8000000000000,3fc999999999999a,4022000000000000,3fb999999999999a,4024000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,4010000000000000,4010000000000000
S B|A|CROSS_K|OK|OK|OK|NaN|0|19.654|0.750|0.200|9|0.100|10|2024|micron|micron^2|9|4|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,3ffdc7b70efe2a56,3fe8000000000000,3fb999999999999a,4022000000000000,3fb999999999999a,4024000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,4010000000000000,4010000000000000
S A|B|CROSS_L|OK|OK|OK|NaN|0|1.861|0.750|0.100|9|0.100|10|2024|micron|micron|9|4|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,3ffdc7b70efe2a56,3fe8000000000000,3fc999999999999a,4022000000000000,3fb999999999999a,4024000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,4010000000000000,4010000000000000
S B|A|CROSS_L|OK|OK|OK|NaN|0|1.861|0.750|0.200|9|0.100|10|2024|micron|micron|9|4|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,401d0ebc4563dd3c,0000000000000000,3fdcef2c248806c8,3fe8000000000000,3fb999999999999a,4022000000000000,3fb999999999999a,4024000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,4010000000000000,4010000000000000
S A|B|CROSS_G|OK|OK|OK|7.264|0|0.452|0.750|0.100|9|0.100|10|2024|micron|dimensionless|9|4|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,40148bfaf2e3b2ee,0000000000000000,3fed01f849272b7d,3fe8000000000000,3fc999999999999a,4022000000000000,3fb999999999999a,4024000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,4010000000000000,4010000000000000
S B|A|CROSS_G|OK|OK|OK|5.137|0|0.906|0.750|0.200|9|0.100|10|2024|micron|dimensionless|9|4|4
D 7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,0000000000000000,402e53576c9f6440,3fe8000000000000,3fb999999999999a,4022000000000000,3fb999999999999a,4024000000000000,7ff8000000000000,7ff8000000000000,7ff8000000000000,4022000000000000,4010000000000000,4010000000000000
